"State","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"ANDHRA PRADESH","40","6106","11990","4159","9568","4466","13362","4182","661","5658","5154","7248","1387","16760","105","17066","903"
"ARUNACHAL PRADESH","0","0","1","0","0","1","0","0","1","1","0","0","1","0","1","0","0"
"ASSAM","5042","4334","178","5996","2119","1439","608","3200","5746","6082","1636","1836","1","9553","5164","4390","0"
"BIHAR","72","3296","7263","8427","1979","226","2176","7790","666","1258","5524","3848","105","10527","102","10358","172"
"CHHATTISGARH","627","4507","18806","1576","17089","5277","11696","10628","1624","5472","8857","9602","38","23876","3446","20406","21"
"GOA","0","187","164","6","26","298","167","99","86","255","84","12","3","347","165","185","0"
"GUJARAT","0","0","1","1","0","0","0","0","1","0","1","0","0","1","0","1","0"
"HIMACHAL PRADESH","176","4342","4482","3116","6175","1380","4532","5370","763","7594","2543","513","17","11018","122","10718","20"
"JAMMU & KASHMIR","470","1117","470","553","1333","172","275","1530","253","924","588","537","1","2039","59","1966","7"
"JHARKHAND","5","682","676","274","999","92","148","1081","138","306","597","458","118","1238","404","940","3"
"KARNATAKA","0","0","3","1","1","1","0","1","2","0","1","2","1","2","0","3","0"
"MADHYA PRADESH","154","17943","50256","15774","47558","5031","19116","46184","3066","13515","27554","27162","4159","64012","889","66680","553"
"MAHARASHTRA","1","86","321","77","164","166","278","79","50","142","109","157","20","386","41","358","7"
"ODISHA","97","494","653","350","371","523","195","580","469","234","453","557","0","1244","242","1002","0"
"PUNJAB","0","0","0","18","246","187","139","227","85","26","150","275","5","446","0","302","149"
"RAJASTHAN","1","6","2925","23604","16970","3167","20853","22182","795","2798","7044","33937","4271","39469","66","38505","5083"
"SIKKIM","0","0","7","4","3","0","5","2","0","0","0","7","0","7","3","4","0"
"TAMIL NADU","10","721","31732","10658","13527","8285","16657","13352","2478","1434","4925","26059","140","32250","1249","29521","1505"
"TELANGANA","0","0","2","2","0","0","2","0","0","0","1","1","0","2","0","2","0"
"UTTAR PRADESH","81","7553","112124","20125","75316","24246","9405","96391","14152","2057","17202","100403","3332","116362","481","117792","1089"
"UTTARAKHAND","0","206","2029","811","1081","343","844","1166","225","1601","296","338","0","2234","26","2209","0"
"WEST BENGAL","49","5426","633","4552","655","904","1438","3652","1022","3871","1816","417","1349","4749","1717","4356","2"
