State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,02-07-2025,300,2500,1500
Andhra Pradesh,Chittor,Kalikiri,Tomato,Hybrid,FAQ,02-07-2025,2660,3530,3100
Andhra Pradesh,Chittor,Madanapalli,Tomato,Other,FAQ,02-07-2025,2200,3500,3100
Andhra Pradesh,Chittor,Puttur,Mango,Other,Medium,02-07-2025,2000,3000,2500
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Hybrid,FAQ,02-07-2025,3600,4000,3800
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,Large,02-07-2025,2600,3400,2900
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Desi(Bontha),Large,02-07-2025,1900,2400,2200
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,FAQ,02-07-2025,9250,10425,10250
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,02-07-2025,7000,7100,7050
Andhra Pradesh,Nellore,Atmakur(SPS),Cotton,Local,FAQ,02-07-2025,7121,7600,7521
Andhra Pradesh,West Godavari,Chintalapudi,Lemon,Lemon,FAQ,02-07-2025,1000,1400,1200
Assam,Barpeta,Barpeta Road,Beetroot,Beetroot,Local,02-07-2025,3000,3500,3400
Assam,Barpeta,Barpeta Road,Green Chilli,Green Chilly,Local,02-07-2025,2000,3200,2800
Assam,Cachar,Sonabarighat,Cabbage,Cabbage,Local,02-07-2025,1800,2000,1800
Assam,Darrang,Balugaon,Capsicum,Capsicum,Local,02-07-2025,1400,1600,1500
Assam,Goalpara,Krishnai,Bitter gourd,Bitter Gourd,Local,02-07-2025,2000,2400,2200
Assam,Golaghat,Golaghat,Bitter gourd,Bitter Gourd,Local,02-07-2025,2600,2800,2800
Assam,Golaghat,Golaghat,Pumpkin,Pumpkin,Local,02-07-2025,1000,1200,1200
Assam,Golaghat,Golaghat,Tomato,Tomato,Local,02-07-2025,2800,2900,2900
Assam,Nagaon,Dhing,Lemon,Lemon,Local,02-07-2025,533.6,667,600.3
Assam,Nalbari,Dhamdhama,Cabbage,Cabbage,Local,02-07-2025,2000,2400,2400
Assam,Nalbari,Dhamdhama,Lemon,Lemon,Local,02-07-2025,466.9,533.6,533.6
Assam,Sibsagar,Simalguri,Cabbage,Cabbage,Local,02-07-2025,1900,2000,2000
Assam,Sibsagar,Simalguri,Ginger(Green),Green Ginger,Local,02-07-2025,3800,4000,4000
Assam,Sibsagar,Simalguri,Green Chilli,Green Chilly,Local,02-07-2025,3400,3800,3700
Chattisgarh,Durg,Durg,Onion,Onion,Non-FAQ,02-07-2025,1500,1600,1600
Chattisgarh,Durg,Durg,Potato,Local,Non-FAQ,02-07-2025,2000,2200,2000
Gujarat,Amreli,Amreli,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,02-07-2025,14050,20150,17875
Gujarat,Amreli,Amreli,Groundnut,Bold,Non-FAQ,02-07-2025,4100,5320,5135
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,02-07-2025,4500,7175,6800
Gujarat,Amreli,Amreli,Methi Seeds,Methiseeds,FAQ,02-07-2025,3000,4030,3780
Gujarat,Amreli,Bagasara,Soyabean,Yellow,Non-FAQ,02-07-2025,3775,3905,3840
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,FAQ,02-07-2025,4150,5050,4600
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,02-07-2025,14000,18500,16500
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,02-07-2025,7000,10000,8750
Gujarat,Amreli,Savarkundla,Wheat,Bansi,FAQ,02-07-2025,2350,2760,2625
Gujarat,Banaskanth,Deesa,Bajra(Pearl Millet/Cumbu),Other,FAQ,02-07-2025,1500,2780,2375
Gujarat,Banaskanth,Dhanera,Mustard,Mustard,FAQ,02-07-2025,6010,6335,6135
Gujarat,Banaskanth,Dhanera,Rajgir,Rajgir,FAQ,02-07-2025,5105,5525,5325
Gujarat,Banaskanth,Vadgam,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,02-07-2025,1500,1850,1605
Gujarat,Bharuch,Ankleshwar,Green Chilli,Green Chilly,FAQ,02-07-2025,2500,4500,4000
Gujarat,Bharuch,Bharuch,Banana - Green,Other,FAQ,02-07-2025,500,650,600
Gujarat,Bharuch,Bharuch,Ginger(Green),Other,FAQ,02-07-2025,2000,2500,2200
Gujarat,Bharuch,Bharuch,Green Chilli,Other,FAQ,02-07-2025,3000,3500,3200
Gujarat,Bharuch,Bharuch,Lemon,Other,FAQ,02-07-2025,2000,3000,2500
Gujarat,Bharuch,Bharuch,Mango,Totapuri,Medium,02-07-2025,2000,2500,2200
Gujarat,Bharuch,Bharuch,Potato,Other,Non-FAQ,02-07-2025,1000,2200,1500
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,02-07-2025,5200,6000,5600
Gujarat,Bharuch,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),Other,FAQ,02-07-2025,2300,2700,2500
Gujarat,Botad,Botad,Groundnut,Other,Non-FAQ,02-07-2025,4650,4925,4800
Gujarat,Botad,Botad,"Sesamum(Sesame,Gingelly,Til)",White,Non-FAQ,02-07-2025,5000,10675,7850
Gujarat,Botad,Botad(Haddad),Cotton,Shanker 6 (B) 30mm FIne,Non-FAQ,02-07-2025,7950,8310,8150
Gujarat,Chhota Udaipur,Bodeliu,Groundnut,Other,FAQ,02-07-2025,4900,5100,5000
Gujarat,Chhota Udaipur,Modasar        ,Cotton,Shanker 6 (B) 30mm FIne,FAQ,02-07-2025,6800,6900,6850
Gujarat,Dahod,Dahod,Green Gram (Moong)(Whole),Green (Whole),Non-FAQ,02-07-2025,6500,7200,7000
Gujarat,Dahod,Dahod,Rice,Coarse,FAQ,02-07-2025,5000,6000,5500
Gujarat,Dahod,Dahod(Veg. Market),Bottle gourd,Bottle Gourd,FAQ,02-07-2025,2000,4000,3000
Gujarat,Dahod,Dahod(Veg. Market),Brinjal,Brinjal,FAQ,02-07-2025,2000,6000,5000
Gujarat,Dahod,Dahod(Veg. Market),Carrot,Carrot,FAQ,02-07-2025,2000,3000,2500
Gujarat,Dahod,Dahod(Veg. Market),Coriander(Leaves),Coriander,FAQ,02-07-2025,3000,7000,5000
Gujarat,Dahod,Dahod(Veg. Market),Potato,Potato,FAQ,02-07-2025,1100,1400,1200
Gujarat,Dahod,Zalod(Sanjeli),Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,02-07-2025,2300,2625,2625
Gujarat,Dahod,Zalod(Sanjeli),Paddy(Dhan)(Common),Other,FAQ,02-07-2025,1950,2300,2300
Gujarat,Dahod,Zalod(Sanjeli),Paddy(Dhan)(Common),Other,Non-FAQ,02-07-2025,1950,2300,2300
Gujarat,Dahod,Zalod(Sanjeli),Wheat,Other,Non-FAQ,02-07-2025,2450,2500,2500
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,02-07-2025,2300,2500,2400
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,02-07-2025,2460,2465,2462
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Castor Seed,Other,FAQ,02-07-2025,6450,6525,6487
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bhindi(Ladies Finger),Other,FAQ,02-07-2025,6000,7000,6500
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bottle gourd,Other,FAQ,02-07-2025,3000,4000,4000
Gujarat,Gir Somnath,Talalagir,Brinjal,Other,FAQ,02-07-2025,2000,4500,3000
Gujarat,Gir Somnath,Talalagir,Green Chilli,Other,FAQ,02-07-2025,3000,5500,4000
Gujarat,Gir Somnath,Veraval,Green Gram (Moong)(Whole),Other,FAQ,02-07-2025,5855,7505,6890
Gujarat,Gir Somnath,Veraval,Millets,Millets,FAQ,02-07-2025,1505,2400,2045
Gujarat,Gir Somnath,Veraval,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,02-07-2025,6005,9450,8140
Gujarat,Jamnagar,Dhrol,Bajra(Pearl Millet/Cumbu),Other,FAQ,02-07-2025,1675,2225,1950
Gujarat,Jamnagar,Dhrol,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,02-07-2025,6725,9025,7875
Gujarat,Jamnagar,Jamnagar,Beans,Other,FAQ,02-07-2025,6000,8450,7225
Gujarat,Jamnagar,Jamnagar,Green Gram (Moong)(Whole),Other,FAQ,02-07-2025,6000,7350,6675
